rank,feature,mean_abs_shap
1,brand_perfume_count,0.06702994014134929
2,perfume_age,0.04341285943724815
3,country_France,0.02528486539412475
4,accord__vanilla,0.014048752457839106
5,base_note_count,0.010831001453251731
6,brand_len,0.010037767445099615
7,note_count_total,0.008448310332989407
8,accord__citrus,0.007830036694042964
9,perfume_name_len,0.007307394257045655
10,country_Italy,0.007238496786326709
11,note__musk,0.005906763831755073
12,accord__sweet,0.004735377560891866
13,middle_note_count,0.004715752248342838
14,top_note_count,0.004053349769236449
15,country_Brazil,0.003928738132234971
