feature,mean_abs_shap
brand_perfume_count,0.06702994014134929
perfume_age,0.04341285943724815
country_France,0.02528486539412475
accord__vanilla,0.014048752457839106
base_note_count,0.010831001453251731
brand_len,0.010037767445099615
note_count_total,0.008448310332989407
accord__citrus,0.007830036694042964
perfume_name_len,0.007307394257045655
country_Italy,0.007238496786326709
note__musk,0.005906763831755073
accord__sweet,0.004735377560891866
middle_note_count,0.004715752248342838
top_note_count,0.004053349769236449
country_Brazil,0.003928738132234971
gender_unisex,0.003836421824812513
accord__warm spicy,0.0030927165627978085
country_USA,0.002908764377176818
note__leather,0.002866104064198071
country_Russia,0.0025275904714711565
